restaurantId;restaurantCuisine;restaurantTags;restaurantName;menuId;menuName;menuDescription;menuSections;menuPrice;menuTag;dishType;menuType;cuisine;associatedKeywords;flavor;mealTime;occasion;portion
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-3;Virgin Rose;Virgin Rose is a refreshing non-alcoholic beverage offered by Roti Bakar Kemang - Pop Up Kitchen. This elegant drink likely combines floral notes with a sweet and tangy flavor profile, perfect for those seeking a sophisticated alcohol-free option.;mocktails;36000;mocktails;drink;beverage;fusion;non-alcoholic,floral;sweet;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-5;Sweet Palm;Sweet Palm is a unique offering from Roti Bakar Kemang - Pop Up Kitchen. This beverage likely features the rich, caramel-like flavor of palm sugar, creating a sweet and indulgent drink with a tropical twist.;mocktails;36000;mocktails;drink;beverage;fusion;non-alcoholic,tropical;sweet;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-6;Green Caipirinha;Green Caipirinha is a refreshing cocktail-inspired drink served at Roti Bakar Kemang - Pop Up Kitchen. This non-alcoholic version likely combines lime, sugar, and a green element, possibly mint or matcha, for a zesty and invigorating flavor experience.;mocktails;34000;mocktails;drink;beverage;brazilian;non-alcoholic,lime;sour;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-7;Milkshake Vanilla;Milkshake Vanilla is a classic dessert drink offered by Roti Bakar Kemang - Pop Up Kitchen. This creamy and indulgent beverage blends smooth vanilla ice cream with milk for a rich and satisfying treat.;milkshakes;36000;milkshakes;drink;dessert;american;creamy,vanilla;sweet;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-8;Ovamaltine Milkshake;Ovamaltine Milkshake is a unique offering from Roti Bakar Kemang - Pop Up Kitchen. This indulgent drink combines the rich, malty flavor of Ovomaltine with creamy ice cream for a nostalgic and satisfying beverage experience.;milkshakes;38000;milkshakes;drink;dessert;fusion;malt,chocolate;sweet;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-9;Biscoff Milkshake;Biscoff Milkshake is a decadent dessert drink available at Roti Bakar Kemang - Pop Up Kitchen. This creamy concoction features the distinctive caramelized flavor of Biscoff cookies blended with ice cream for a rich and indulgent treat.;milkshakes;39000;milkshakes;drink;dessert;fusion;cookie,caramel;sweet;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-10;Cookies And Cream Milkshake;Cookies And Cream Milkshake is a beloved classic offered by Roti Bakar Kemang - Pop Up Kitchen. This indulgent beverage combines creamy vanilla ice cream with chunks of chocolate sandwich cookies for a satisfying mix of textures and flavors.;milkshakes;38000;milkshakes;drink;dessert;american;cookie,vanilla;sweet;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-11;Regal Milkshake;Regal Milkshake is a unique dessert drink served at Roti Bakar Kemang - Pop Up Kitchen. This indulgent beverage likely features the rich, buttery flavor of Regal biscuits blended with creamy ice cream for a luxurious treat.;milkshakes;38000;milkshakes;drink;dessert;fusion;premium,creamy;sweet;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-12;Nutella Milkshake;Nutella Milkshake is a decadent offering from Roti Bakar Kemang - Pop Up Kitchen. This creamy beverage combines the rich, chocolatey-hazelnut flavor of Nutella with smooth ice cream for an indulgent and satisfying dessert drink.;milkshakes;38000;milkshakes;drink;dessert;fusion;hazelnut,chocolate;sweet;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-13;Milo Monster;Milo Monster is a unique beverage creation from Roti Bakar Kemang - Pop Up Kitchen. This drink likely features a generous serving of Milo, the popular chocolate malt powder, blended or topped with additional indulgent ingredients for a monstrous treat.;milkshakes;36000;milkshakes;drink;dessert;fusion;chocolate,malt;sweet;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-14;Milo Avocado Float;Milo Avocado Float is an innovative beverage offered by Roti Bakar Kemang - Pop Up Kitchen. This unique drink combines the rich, chocolatey flavor of Milo with creamy avocado and likely includes ice cream for a decadent and refreshing float.;milkshakes;38000;milkshakes;drink;dessert;fusion;chocolate,avocado;creamy;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-15;Milkshake Chocolate;Milkshake Chocolate is a classic dessert drink available at Roti Bakar Kemang - Pop Up Kitchen. This indulgent beverage blends rich chocolate ice cream with milk for a creamy and satisfying chocolate lover's treat.;milkshakes;36000;milkshakes;drink;dessert;american;chocolate,creamy;sweet;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-16;Lemongrass Iced Tea;Lemongrass Iced Tea is a refreshing beverage offered by Roti Bakar Kemang - Pop Up Kitchen. This aromatic drink combines the citrusy, herbal notes of lemongrass with cool, refreshing iced tea for a unique and invigorating flavor experience.;tea;28000;tea;drink;beverage;asian;herbal,refreshing;sour;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-17;Milk Tea;Milk Tea is a popular beverage served at Roti Bakar Kemang - Pop Up Kitchen. This comforting drink combines rich black tea with creamy milk for a smooth and satisfying flavor profile.;tea;28000;tea;drink;beverage;asian;creamy,tea;sweet;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-19;Green Tea Iced Tea;Green Tea Iced Tea is a refreshing option available at Roti Bakar Kemang - Pop Up Kitchen. This cool beverage features the delicate, earthy flavors of green tea served over ice for a rejuvenating and antioxidant-rich drink.;tea;28000;tea;drink;beverage;japanese;antioxidant,refreshing;bitter;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-21;Peach Iced Tea;Peach Iced Tea is a fruity and refreshing beverage offered by Roti Bakar Kemang - Pop Up Kitchen. This drink combines the sweet, juicy flavor of peaches with cool iced tea for a perfect summer refreshment.;tea;32000;tea;drink;beverage;american;fruity,refreshing;sweet;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-22;Vanilla Iced Tea;Vanilla Iced Tea is a unique twist on a classic beverage served at Roti Bakar Kemang - Pop Up Kitchen. This refreshing drink infuses traditional iced tea with the smooth, sweet notes of vanilla for a comforting and aromatic experience.;tea;32000;tea;drink;beverage;fusion;aromatic,sweet;sweet;anytime;casual;1
6-C3UZN6XERY4CEN;bakery cake;bakery & cake,snack,dessert;Roti Bakar Kemang - Pop Up Kitchen;6-C3UZN6XERY4CEN-23;Iced Honey Lime;Iced Honey Lime is a refreshing beverage offered by Roti Bakar Kemang - Pop Up Kitchen. This zesty drink combines the sweetness of honey with the tartness of lime, served over ice for a perfectly balanced and invigorating refreshment.;tea;28000;tea;drink;beverage;fusion;citrus,sweet;sweet,sour;anytime;casual;1
