restaurantId;restaurantName;restaurantCuisine;restaurantLink;restaurantTags;menuName;menuDescription;menuPrice;menuSections;menuId
6-C3V1JP4AGE6EAA;SeIndonesia (Sei Sapi dan Ayam) - Lakuliner Thamrin;chicken,fast food,indonesian;https://food.grab.com/id/en/restaurant/seindonesia-sei-sapi-dan-ayam-lakuliner-thamrin-delivery/6-C3V1JP4AGE6EAA?;chicken,rice,fast food;Ricebox Se'I Campur Jumbo BBQ;Nasi Jumbo + Crispy Kangkoong + Se'I Sapi Jumbo + Se'I Ayam Jumbo + BBQ Sauce;52273;ricebox jumbo;6-C3V1JP4AGE6EAA-38
6-C3V1JP4AGE6EAA;SeIndonesia (Sei Sapi dan Ayam) - Lakuliner Thamrin;chicken,fast food,indonesian;https://food.grab.com/id/en/restaurant/seindonesia-sei-sapi-dan-ayam-lakuliner-thamrin-delivery/6-C3V1JP4AGE6EAA?;chicken,rice,fast food;Ricebox Se'I Campur Jumbo Blackpepper;Nasi Jumbo + Crispy Kangkoong + Se'I Sapi Jumbo + Se'I Ayam Jumbo + Blackpepper Sauce;52273;ricebox jumbo;6-C3V1JP4AGE6EAA-39
6-C3V1JP4AGE6EAA;SeIndonesia (Sei Sapi dan Ayam) - Lakuliner Thamrin;chicken,fast food,indonesian;https://food.grab.com/id/en/restaurant/seindonesia-sei-sapi-dan-ayam-lakuliner-thamrin-delivery/6-C3V1JP4AGE6EAA?;chicken,rice,fast food;Ricebox Se'I Campur Jumbo Chili Oil;Nasi Jumbo + Krispy Kangkung + Se'I Sapi Jumbo + Se'I Ayam Jumbo + Chili Oil;52273;ricebox jumbo;6-C3V1JP4AGE6EAA-40
6-C3V1JP4AGE6EAA;SeIndonesia (Sei Sapi dan Ayam) - Lakuliner Thamrin;chicken,fast food,indonesian;https://food.grab.com/id/en/restaurant/seindonesia-sei-sapi-dan-ayam-lakuliner-thamrin-delivery/6-C3V1JP4AGE6EAA?;chicken,rice,fast food;Ricebox Se'I Ayam Reguler Lu'at;Nasi + Crispy Kangkoong + Se'I Ayam + Sambal Lu'at;30455;ricebox reguler;6-C3V1JP4AGE6EAA-41
6-C3V1JP4AGE6EAA;SeIndonesia (Sei Sapi dan Ayam) - Lakuliner Thamrin;chicken,fast food,indonesian;https://food.grab.com/id/en/restaurant/seindonesia-sei-sapi-dan-ayam-lakuliner-thamrin-delivery/6-C3V1JP4AGE6EAA?;chicken,rice,fast food;Ricebox Se'I Ayam Reguler Matah;Nasi + Crispy Kangkoong + Se'I Ayam + Sambal Matah;31818;ricebox reguler;6-C3V1JP4AGE6EAA-42
6-C3V1JP4AGE6EAA;SeIndonesia (Sei Sapi dan Ayam) - Lakuliner Thamrin;chicken,fast food,indonesian;https://food.grab.com/id/en/restaurant/seindonesia-sei-sapi-dan-ayam-lakuliner-thamrin-delivery/6-C3V1JP4AGE6EAA?;chicken,rice,fast food;Ricebox Se'I Ayam Reguler BBQ;Nasi + Crispy Kangkoong + Se'I Ayam + BBQ Sauce;31818;ricebox reguler;6-C3V1JP4AGE6EAA-43
6-C3V1JP4AGE6EAA;SeIndonesia (Sei Sapi dan Ayam) - Lakuliner Thamrin;chicken,fast food,indonesian;https://food.grab.com/id/en/restaurant/seindonesia-sei-sapi-dan-ayam-lakuliner-thamrin-delivery/6-C3V1JP4AGE6EAA?;chicken,rice,fast food;Ricebox Se'I Ayam Reguler Blackpepper;Nasi + Crispy Kangkoong + Se'I Ayam + Blackpepper Sauce;31818;ricebox reguler;6-C3V1JP4AGE6EAA-44
6-C3V1JP4AGE6EAA;SeIndonesia (Sei Sapi dan Ayam) - Lakuliner Thamrin;chicken,fast food,indonesian;https://food.grab.com/id/en/restaurant/seindonesia-sei-sapi-dan-ayam-lakuliner-thamrin-delivery/6-C3V1JP4AGE6EAA?;chicken,rice,fast food;Ricebox Se'I Ayam Reguler Chili Oil;Nasi + Krispy Kangkung + Se'I Ayam + Chili Oil;31818;ricebox reguler;6-C3V1JP4AGE6EAA-45
6-C3V1JP4AGE6EAA;SeIndonesia (Sei Sapi dan Ayam) - Lakuliner Thamrin;chicken,fast food,indonesian;https://food.grab.com/id/en/restaurant/seindonesia-sei-sapi-dan-ayam-lakuliner-thamrin-delivery/6-C3V1JP4AGE6EAA?;chicken,rice,fast food;Ricebox Se'I Sapi Reguler Lu'at;Nasi + Crispy Kangkoong + Se'I Sapi + Sambal Lu'at;40000;ricebox reguler;6-C3V1JP4AGE6EAA-46
6-C3V1JP4AGE6EAA;SeIndonesia (Sei Sapi dan Ayam) - Lakuliner Thamrin;chicken,fast food,indonesian;https://food.grab.com/id/en/restaurant/seindonesia-sei-sapi-dan-ayam-lakuliner-thamrin-delivery/6-C3V1JP4AGE6EAA?;chicken,rice,fast food;Ricebox Se'I Sapi Reguler Matah;Nasi + Crispy Kangkoong + Se'I Sapi + Sambal Matah;41364;ricebox reguler;6-C3V1JP4AGE6EAA-47
